Admin (1)
Email
admin@cust.edu.pk
Teachers (6)
Email	Department
teacher@cust.edu.pk	SE
teacher.se2@cust.edu.pk	SE
teacher.cs1@cust.edu.pk	CS
teacher.cs2@cust.edu.pk	CS
teacher.ee1@cust.edu.pk	EE
teacher.ee2@cust.edu.pk	EE
Students (18)
Email	Department	Semester
student@cust.edu.pk	SE	1
student.se2@cust.edu.pk	SE	3
student.se3@cust.edu.pk	SE	5
student.se4@cust.edu.pk	SE	7
student.se5@cust.edu.pk	SE	1
student.se6@cust.edu.pk	SE	3
student.cs1@cust.edu.pk	CS	1
student.cs2@cust.edu.pk	CS	3
student.cs3@cust.edu.pk	CS	5
student.cs4@cust.edu.pk	CS	7
student.cs5@cust.edu.pk	CS	1
student.cs6@cust.edu.pk	CS	3
student.ee1@cust.edu.pk	EE	1
student.ee2@cust.edu.pk	EE	3
student.ee3@cust.edu.pk	EE	5
student.ee4@cust.edu.pk	EE	7
student.ee5@cust.edu.pk	EE	1
student.ee6@cust.edu.pk	EE	3
